id_institution,ratio_active,has_drift,drift_in_test,max_rel_dev,drift_fraction,n_drift_events
102.0,0.9998511461744567,False,False,0.8956435255748051,0.0,0
230.0,0.9998511461744567,False,False,0.5244562992566422,0.0,0
24.0,0.9998511461744567,False,False,0.537533864839157,0.0,0
27.0,0.9998511461744567,False,False,0.6023568643995828,0.0,0
248.0,0.9998511461744567,True,True,0.8577396682844303,0.00759154510270914,1
71.0,0.9998511461744567,False,False,0.8762993636893264,0.0,0
127.0,0.9998511461744567,True,True,1.3207478774346753,0.01682048228639476,1
62.0,0.9998511461744567,True,True,0.9251534699568029,0.01979755879726109,1
187.0,0.9998511461744567,False,False,0.6232747666175781,0.0,0
34.0,0.9998511461744567,False,False,0.7376725517208415,0.0,0
25.0,0.9998511461744567,False,False,0.40327168979950523,0.0,0
101.0,0.9998511461744567,True,True,0.6681441410674444,0.00461446859184281,1
